ID,标签,标题                           ,问题                                                                                                          ,答案                                                                                                  ,省份 ,年份
0 ,0 ,志愿                           ,您好，请问深圳校区在江西招生吗？网上查不到数据                                                                                     ,哈尔滨工业大学（深圳）本科招生网http://zsb.hitsz.edu.cn/zs_common/bkzn/zswz?flbs=3                                  ,江西 ,2020
1 ,0 ,报考                           ,山东考生，选科为理化生，600，总分名次26000，等级排名20000左右，报考贵校有希望被录取吗？                                                          ,您好，我校暂未在山东招生                                                                                        ,山东 ,2020
2 ,0 ,招生专业分数线                      ,您好，我在网上搜不到江西地区在贵校分数线对应专业的具体情况。系统显示暂无数据，我该去哪找？                                                               ,您好，哈尔滨工业大学（深圳）本科招生网http://zsb.hitsz.edu.cn/zs_common/bkzn/zswz?flbs=2                               ,江西 ,2020
3 ,0 ,提档与退档                        ,国家专项计划提前批报考，如果提档，并且因不服从调剂又被退档，那么会在什么时候得到通知？与7.30的报考冲突吗？                                                     ,您好，请咨询所在省份考试院                                                                                       ,河南 ,2020
4 ,0 ,填报咨询                         ,老师您好，我是安徽的一名考生，省排1402，请问填贵校不服从调剂死档风险有多大                                                                     ,您好，现无法预测提档线和专业录取情况，建议您服从调剂，您可以致电13510687691咨询                                                       ,安徽 ,2020
5 ,0 ,招生章程和毕业证                     ,老师您好！1.阳光高考网上哈尔滨工业大学威海校区招生章程为“暂无2020年招生章程”，哈尔滨工业大学威海校区招生章程是否与哈尔滨工业大学本部招生章程一样？2.哈尔滨工业大学威海校区毕业证书是否与校本部完全一样？   ,您好，哈尔滨工业大学一校三区招生章程只有一份，由校本部统一发布                                                                     ,内蒙古,2020
6 ,0 ,招生老师好！                       ,海南新高考，选考科目物化生，综合分760分，能否报考贵校计算机类或者电子信息类？                                                                    ,您好，希望非常大，您可以致电李老师18938867597咨询                                                                      ,海南 ,2020
7 ,0 ,录取                           ,老师你好，我是广东考生，理科642分排位4954有录取可能吗                                                                              ,您好，建议您冲着报一下                                                                                         ,广东 ,2020
8 ,0 ,老师好！我是江西宜春考生颜瑄皓理科638分，排名2892，,老师好！我是江西宜春考生颜瑄皓理科638分，排名2892，问：1、有机会录取贵校吗？2、本科一批专业录取是分数优先？还是志愿优先？3、优势专业及填报建议？4、入校后是否可转专业？有何条件？5、江西招生负责人联系方式？,您好，江西省联系方式：吕老师0755-86917713，您可以致电咨询                                                                 ,江西 ,2020
9 ,0 ,报名录取问题                       ,请问我小孩，657分，广东2310，想报贵校计算机系，希望大吗？今年好像计算机和自动化还有电子信息专业扩招了一倍。另外，然后去不了计算机系，有什么类似专业推荐？谢谢！                         ,您好，还是有希望的，请加广东省的咨询QQ群583147628，内有老师专门解答问题，或者可以致电13510611736咨询                                       ,广东 ,2020
10,0 ,老师您好，我是一名广东理科考生              ,我想问理科652分，省排位3079，有机会被贵校的计算机类专业或自动化类专业录取吗？                                                                  ,您好，希望非常大，请加广东省的咨询QQ群583147628，内有老师专门解答问题，或者可以致电13510611736咨询                                        ,广东 ,2020
11,0 ,招生咨询                         ,河南考生，673，请问能否进入深圳校区，如果能进入，有哪些专业可以选择                                                                         ,您好，可以冲一下                                                                                            ,河南 ,2020
12,0 ,参观和了解学校                      ,老师您好，我们一家来深圳了，想参观深圳校区可以吗？                                                                                   ,家长您好【腾讯文档】2020年哈工大（深圳）校园开放活动报名表https://docs.qq.com/form/page/DYXJoWnRXeElpRHVC?_w_tencentdocx_form=1,广东 ,2020
13,0 ,广东理科544分，请问有机会报贵校吗？          ,老师好，请问广东理科544分，请问有机会报贵校吗？                                                                                   ,您好，2019年广东省最低622分                                                                                   ,广东 ,2020
14,0 ,报考                           ,你好，湖北考生高考644分，全省排名3512，请问能去贵校的计算机专业吗？                                                                       ,您好，现无法对录取专业分数做出预测                                                                                   ,湖北 ,2020
